DATE,USD in Circulation (Billions)
2001-01-01,585.106
2001-02-01,582.524
2001-03-01,585.082
2001-04-01,587.928
2001-05-01,590.873
2001-06-01,594.37
2001-07-01,600.387
2001-08-01,606.133
2001-09-01,613.558
2001-10-01,615.01
2001-11-01,621.87
2001-12-01,630.276
2002-01-01,635.429
2002-02-01,635.884
2002-03-01,639.698
2002-04-01,643.58
2002-05-01,648.293
2002-06-01,654.774
2002-07-01,660.96
2002-08-01,660.558
2002-09-01,662.189
2002-10-01,662.238
2002-11-01,667.444
2002-12-01,676.472
2003-01-01,679.411
2003-02-01,679.832
2003-03-01,683.413
2003-04-01,687.055
2003-05-01,690.521
2003-06-01,691.954
2003-07-01,694.257
2003-08-01,694.696
2003-09-01,697.699
2003-10-01,700.706
2003-11-01,706.305
2003-12-01,716.191
2004-01-01,713.752
2004-02-01,713.25
2004-03-01,713.923
2004-04-01,716.778
2004-05-01,719.679
2004-06-01,726.437
2004-07-01,734.828
2004-08-01,734.62
2004-09-01,738.149
2004-10-01,740.816
2004-11-01,746.581
2004-12-01,753.395
2005-01-01,750.197
2005-02-01,750.39
2005-03-01,752.083
2005-04-01,753.66
2005-05-01,754.184
2005-06-01,759.996
2005-07-01,763.847
2005-08-01,763.347
2005-09-01,767.94
2005-10-01,768.814
2005-11-01,774.619
2005-12-01,783.336
2006-01-01,786.823
2006-02-01,785.378
2006-03-01,788.916
2006-04-01,790.544
2006-05-01,794.306
2006-06-01,794.297
2006-07-01,795.918
2006-08-01,793.601
2006-09-01,794.469
2006-10-01,794.139
2006-11-01,800.542
2006-12-01,809.326
2007-01-01,808.848
2007-02-01,805.364
2007-03-01,806.34
2007-04-01,807.557
2007-05-01,809.5
2007-06-01,811.079
2007-07-01,814.649
2007-08-01,811.732
2007-09-01,811.899
2007-10-01,813.658
2007-11-01,819.857
2007-12-01,820.294
2008-01-01,817.367
2008-02-01,814.429
2008-03-01,816.645
2008-04-01,813.937
2008-05-01,817.686
2008-06-01,822.827
2008-07-01,829.946
2008-08-01,830.514
2008-09-01,833.942
2008-10-01,849.122
2008-11-01,864.074
2008-12-01,877.883
2009-01-01,886.184
2009-02-01,894.156
2009-03-01,900.752
2009-04-01,903.412
2009-05-01,905.514
2009-06-01,907.576
2009-07-01,909.56
2009-08-01,910.774
2009-09-01,912.969
2009-10-01,915.317
2009-11-01,918.242
2009-12-01,924.315
2010-01-01,921.235
2010-02-01,927.21
2010-03-01,932.535
2010-04-01,935.054
2010-05-01,937.474
2010-06-01,941.363
2010-07-01,944.765
2010-08-01,946.088
2010-09-01,951.33
2010-10-01,960.369
2010-11-01,970.89
2010-12-01,979.39
2011-01-01,978.912
2011-02-01,987.088
2011-03-01,1000.695
2011-04-01,1009.366
2011-05-01,1016.664
2011-06-01,1023.527
2011-07-01,1029.57
2011-08-01,1033.04
2011-09-01,1038.738
2011-10-01,1042.129
2011-11-01,1055.231
2011-12-01,1066.406
2012-01-01,1069.691
2012-02-01,1080.197
2012-03-01,1095.166
2012-04-01,1099.978
2012-05-01,1103.669
2012-06-01,1108.545
2012-07-01,1113.756
2012-08-01,1115.866
2012-09-01,1126.389
2012-10-01,1134.623
2012-11-01,1149.019
2012-12-01,1156.695
2013-01-01,1160.082
2013-02-01,1164.584
2013-03-01,1174.354
2013-04-01,1178.421
2013-05-01,1185.026
2013-06-01,1189.693
2013-07-01,1196.581
2013-08-01,1198.798
2013-09-01,1206.327
2013-10-01,1213.425
2013-11-01,1220.844
2013-12-01,1230.286
2014-01-01,1231.631
2014-02-01,1237.534
2014-03-01,1261.586
2014-04-01,1270.128
2014-05-01,1275.948
2014-06-01,1279.375
2014-07-01,1284.825
2014-08-01,1287.503
2014-09-01,1290.772
2014-10-01,1294.037
2014-11-01,1309.492
2014-12-01,1326.698
2015-01-01,1333.447
2015-02-01,1341.256
2015-03-01,1354.764
2015-04-01,1359.926
2015-05-01,1364.57
2015-06-01,1366.158
2015-07-01,1369.775
2015-08-01,1375.053
2015-09-01,1383.872
2015-10-01,1391.429
2015-11-01,1402.991
2015-12-01,1415.044
2016-01-01,1417.331
2016-02-01,1420.976
2016-03-01,1436.877
2016-04-01,1444.638
2016-05-01,1450.998
2016-06-01,1457.506
2016-07-01,1463.677
2016-08-01,1464.341
2016-09-01,1470.25
2016-10-01,1475.811
2016-11-01,1488.54
2016-12-01,1499.355
2017-01-01,1504.579
2017-02-01,1504.655
